original_trade_number,result,decision_timestamp,entry_timestamp,exit_timestamp,side,rrms_tier,quantity,entry_price,stop_price,target_price,exit_price,exit_reason,gross_pnl,costs,net_pnl,result_r,equity_after,zone_id,zone_status_at_trigger,qualified_score,current_score,qualified_sources,zone_qualified_timestamp,zone_age_hours,zone_lower,zone_upper,zone_width,one_hour_atr,zone_width_atr,trigger_timestamp,trigger_open,trigger_high,trigger_low,trigger_close,trigger_body_atr,trigger_range_atr,zone_penetration_fraction,trigger_below_zone_lower,trigger_breached_future_stop,entry_extension_atr,planned_risk_atr,same_bar_exit,holding_hours,entry_year,entry_weekday,entry_local_time
1,loss,2021-06-16T18:30:00Z,2021-06-16T18:30:00Z,2021-06-16T18:30:00Z,long,0,189,421.592155,420.7992246000532,422.3850853999468,420.7571446775932,stop,-157.81695093488293,1.8900000000000001,-159.7069509348829,-1.065680320067814,99840.29304906512,40,rejected,2,3,pivot|repeated_pivot,2021-06-02T19:00:00Z,335.5,420.84,421.25,0.410000000000025,0.8155079989354548,0.502754112203963,2021-06-16T18:15:00Z,421.44,421.8,420.31,421.55,0.13488524961570592,1.8270820175216191,2.292682926829123,True,True,0.41956056892959026,0.9723146811335466,True,0.0,2021,Wednesday,14:30
2,win,2021-08-03T14:30:00Z,2021-08-03T14:30:00Z,2021-08-03T15:45:00Z,long,0,76,437.81377699999996,435.84611572360274,439.7814382763972,439.73746013256954,target,146.199918075288,0.76,145.439918075288,0.9725673598016434,99985.73296714041,83,active,3,3,pivot|repeated_pivot|role_flip,2021-07-28T14:30:00Z,144.0,435.911212542928,436.34,0.4287874570719623,1.3019363865060076,0.3293459354206195,2021-08-03T14:15:00Z,436.39,437.97,436.25,437.76,1.052278755090837,1.3211090939826733,0.2098941993652359,False,False,1.1319884867456107,1.511334422166212,False,1.25,2021,Tuesday,10:30
4,win,2021-11-22T18:30:00Z,2021-11-22T18:30:00Z,2021-11-22T20:00:00Z,long,0,176,471.037099,470.1855055739789,471.8886924260211,471.84150355677855,target,141.57520199302235,1.76,139.81520199302236,0.9328448676385658,100264.815877103,177,verified,2,3,pivot|repeated_pivot,2021-11-17T16:00:00Z,122.5,470.26,470.65,0.38999999999998636,1.489888520421841,0.2617645512763353,2021-11-22T18:15:00Z,470.68,471.14,470.63,470.98,0.20135734713565723,0.3423074901305982,0.051282051282006434,False,False,0.25981742572956606,0.5715819770059,False,1.5,2021,Monday,13:30
5,win,2021-12-08T16:15:00Z,2021-12-08T16:15:00Z,2021-12-08T20:00:00Z,long,0,97,467.656761,466.10846741488496,469.2050545851151,469.1581340796566,target,145.63318872668629,0.97,144.6631887266863,0.9632366199758738,100409.47906582968,186,verified,4,4,pivot|repeated_pivot|role_flip|volume_profile,2021-11-30T15:30:00Z,192.75,466.23,466.85621026216006,0.6262102621600434,2.430651702301275,0.2576306023471666,2021-12-08T16:00:00Z,467.08,467.71,466.83,467.63,0.22627676333852617,0.3620428213416325,0.04185536990350186,False,False,0.32935641790307346,0.6369870202502396,False,3.75,2021,Wednesday,11:15
7,loss,2022-04-14T15:30:00Z,2022-04-14T15:30:00Z,2022-04-14T16:15:00Z,long,0,86,442.094205,440.3544062622161,443.83400373778386,440.3103708215899,stop,-153.40973934326644,0.86,-154.26973934326645,-1.0310584434007768,100100.60142946776,276,verified,2,3,pivot|repeated_pivot,2022-03-18T16:00:00Z,647.5,440.47,441.11,0.6399999999999864,2.3118747556783683,0.2768316053575284,2022-04-14T15:15:00Z,441.69,442.27,441.06,442.04,0.15139228417991138,0.5233847538790793,0.07812500000001943,False,False,0.42571726586078895,0.752548871218314,False,0.75,2022,Thursday,11:30
8,loss,2022-06-22T17:30:00Z,2022-06-22T17:30:00Z,2022-06-22T19:30:00Z,long,0,63,377.117708,374.7609273556949,379.4744886443051,374.7234512629593,stop,-150.8381744335627,0.63,-151.4681744335627,-1.020144468196603,99949.13325503419,356,verified,3,3,pivot|repeated_pivot|role_flip,2022-06-21T19:00:00Z,22.5,374.93,376.28,1.349999999999966,3.3814528861025397,0.39923667295449883,2022-06-22T17:15:00Z,376.38,377.38,376.25,377.07,0.20405429951008167,0.33417588180636537,0.022222222222202572,False,False,0.2477361146869511,0.6969727876414472,False,2.0,2022,Wednesday,13:30
12,loss,2022-12-05T15:45:00Z,2022-12-05T15:45:00Z,2022-12-05T16:30:00Z,long,0,96,403.520348,401.9709377137187,405.06975828628134,401.9307406199473,stop,-152.60230848506035,0.96,-153.56230848506036,-1.0323975477740364,99627.34349614351,486,active,4,4,pivot|repeated_pivot|role_flip|volume_profile,2022-12-02T18:00:00Z,69.75,402.09,402.74,0.6500000000000341,2.3812457256262975,0.27296636924317247,2022-12-05T15:30:00Z,402.75,403.66,402.31,403.49,0.31076171267683,0.5669301515050303,0.6615384615384373,False,False,0.32770578508640147,0.6506721543295642,False,0.75,2022,Monday,10:45
13,loss,2022-12-15T15:45:00Z,2022-12-15T15:45:00Z,2022-12-15T16:00:00Z,long,0,77,391.849181,389.9248249090058,393.7735370909942,389.8858324265149,stop,-151.1778401583499,0.77,-151.94784015834992,-1.0254591562965656,99475.39565598516,468,active,3,3,pivot|repeated_pivot|role_flip,2022-11-17T19:00:00Z,668.75,390.09646287857566,390.44554686712956,0.3490839885539003,3.43275939139791,0.10169194771665722,2022-12-15T15:30:00Z,391.14,391.92,390.42,391.8,0.19226515020362545,0.43696625046276855,0.07318258060296093,False,False,0.408893829374632,0.5605857770912823,False,0.25,2022,Thursday,10:45
17,loss,2023-08-15T18:15:00Z,2023-08-15T18:15:00Z,2023-08-15T19:15:00Z,long,0,178,444.094405,443.25546241368716,444.93334758631283,443.2111368674458,stop,-157.22172759464377,1.78,-159.00172759464377,-1.0647547843292833,99747.3433650239,701,active,2,2,pivot|repeated_pivot,2023-08-15T18:00:00Z,0.25,443.34,443.97,0.6300000000000523,1.6907517262566218,0.3726153226499389,2023-08-15T18:00:00Z,444.05,444.2,443.8,444.06,0.005914528930945541,0.23658115723802334,0.2698412698412727,False,False,0.07357969716547567,0.4961950198154078,False,1.0,2023,Tuesday,14:15
21,loss,2024-01-03T19:30:00Z,2024-01-03T19:30:00Z,2024-01-03T20:45:00Z,long,0,63,470.997095,468.6380219517864,473.3561680482136,468.59115814959125,stop,-151.57402157575126,0.63,-152.20402157575126,-1.0241042990331402,100021.98064496323,801,active,3,3,pivot|repeated_pivot|role_flip,2024-01-03T19:00:00Z,0.5,468.71,469.39,0.6800000000000068,1.439560964271422,0.4723662400391375,2024-01-03T19:15:00Z,469.56,471.19,469.22,470.94,0.9586256047852958,1.3684727836427613,0.2499999999999373,False,False,1.116378562552496,1.6387448025916302,False,1.25,2024,Wednesday,14:30
